,user_address,ens,time_since_first_tx,total_gas_eth,number_of_txs
0,\x000000000f4141775240685a4e005ed819846840,,150 days,7.9122,632
1,\x0000004d1f9fe4bbcecd599ee2d2d5b893b9cbf7,,842 days,4.4961,464
2,\x000000feee8780d16539eb78ad2f2702e8c3c844,,750 days,0.6184,507
3,\x000cd27f10dffac73201258eaa3925c0452051a0,ithaka,358 days,2.4916,221
4,\x00336cd9f823dd8b5c5741638e5038fd561f01b9,dfj,230 days,43.9185,2318
5,\x003e790127e6375be0e016e3294de76fe57ed369,,381 days,2.8136,278
6,\x00493aa44bcfd6f0c2ecc7f8b154e4fb352d1c81,kirinparadise,379 days,14.1016,1137
7,\x0058d23e11e2aee9c501201228d5ebb8674c2e22,,1120 days,3.2005,342
8,\x005b2d881c5c5954f5641cf01e9a021419caa720,,108 days,1.6558,146
9,\x005e15a07afa8d597d532537fd78f537d7eb54f6,,2 days,0.2981,11
10,\x006f74448baead5563915255c8fbc12fd7f6a5df,,109 days,0.4664,65
11,\x0075078a6f6621acb3f43d2915fc8e40e5a5c657,,153 days,1.292,117
12,\x0078678a0e199f9442a5b729284b7e71980da4ca,,32 days,0.8069,75
13,\x00796e910bd0228ddf4cd79e3f353871a61c351c,codechick,103 days,0.526,89
14,\x00845d3a8773c9323a1046d9fa885917f39987ba,brainstorm,186 days,3.0832,422
15,\x008f0ca4a53281e782b94903ebcb3dce6f166499,,139 days,1.8743,164
16,\x009cd67a8249b9d9160bea72079a84afd46886ae,,132 days,1.192,45
17,\x009e16e171972a709c3b4c76f844828a82880be1,,00:00:00,0.4262,1
18,\x009ea1c1e52934090cd6a541b2c14e0a6a72a5bf,,62 days,0.9556,35
19,\x00a239a9b6772bf97ead0aaaa672f32738d804a2,,14 days,3.813,126
20,\x00c30bba59a663636f3eb59dbaf8e561279dfa88,,57 days,5.0853,50
21,\x00c5b979657b92994012914d52c85b75a59ad1a3,,212 days,0.0701,8
22,\x00cbc670efc807b020c6118812a8b45677a9c3c9,,303 days,0.9049,92
23,\x00d29fbc981d05edba69bc0909e391a132271357,avidlines,181 days,13.8505,990
24,\x00ddd913f6433a3f77b34909fdd65ed960a8959d,,258 days,1.1694,66
25,\x00e0e0fa5c60346582dce5c3195a9940ae7111fe,bornhype,26 days,3.8157,176
26,\x00e484da1156202e9dd341ad7ea9c908bb919e96,,374 days,10.6696,843
27,\x00e4a0d1225088ce73138ba5a879af6eafda6f3e,,619 days,0.4361,77
28,\x00e9baa01e8345d1bbb1025c3138caaa7699eb37,,20 days,1.7569,83
29,\x00f2bb128baba9e2b3a466228759166987e4feb9,,191 days,0.8919,85
30,\x00f630965f882298219edbb1b96e0409ec6c8698,,208 days,2.3773,391
31,\x0100029670faae0fd631810c483b9cae68e9bb1a,0x010,116 days,3.4602,302
32,\x011a991df27fb53637b7319d3a43e91b5da5b4e8,bryanw,1473 days,4.8164,433
33,\x011e57d46ee77b69f84e70032b8b5c8bd7ff3af1,,32 days,0.0857,7
34,\x0122c0c70ec38df1658402d412e27b2553e2cfab,jpgmorgan,159 days,1.726,111
35,\x012345e6fa44eed2df2443c739e65165861e0842,,19 days,7.2319,242
36,\x01274b6425fd3099a2fe26907525ca3f060fa9c2,,36 days,12.7393,41
37,\x012b38ccb3ae97a32cd24088bf9426d4ee5442d3,,115 days,40.8252,887
38,\x012bea805abb5e1406f5432c49bbb8ac986ba5e8,,20 days,0.5843,74
39,\x012e168acb9fdc90a4ed9fd6ca2834d9bf5b579e,chanes,673 days,2.5637,257
40,\x015010fc83f429f08929aab7eacb48b277f60f03,,203 days,1.011,139
41,\x017d64126d4d8a3bb1633fd1a5aa03b9c9b76b1a,,00:00:00,0.5966,1
42,\x018a0abb764706d81c4f569f5eb24988ef9ea23f,sp0oks,20 days,3.0534,274
43,\x01a063c0510d6af17204a183d5eeedfbd2c6ce74,,59 days,0.8119,97
44,\x01c24a5ff697f63ac8c05150aedab4c37361dcf9,,17 days,0.2622,65
45,\x01c2e7b1de06da53bd0ec82fdb59e5767b8c6da1,punk9512,633 days,11.7897,737
46,\x01f109ac6e947715b3c3c506ee60d324d45edcd3,bolognaslacks,116 days,4.7359,549
47,\x0200a835c2d065d4101aa87059f64f7281fd2d17,,272 days,0.5105,83
48,\x0227f34f3817f47a2a1cb80e4a3340d43f8a5d6e,,00:00:00,0.9591,1
49,\x023d2ba15fad910bc7f66f110f745ffcb097c134,,140 days,1.8025,186
50,\x024e0c1879db65cf94269dec6461060a181dc1c8,,117 days,2.4444,190
51,\x02594037d4cec55dc0d5069306f25de258aa7ddd,bebo,80 days,4.0903,397
52,\x02672a294bd68fb8ed751124dfca40d3b1db90ad,,7 days,0.1306,3
53,\x026c157b71eeb5c2e7524decdba9fb84075acb52,,24 days,0.2502,23
54,\x026fb0218928a2f471fe009841fa91373394dc22,,19 days,1.6186,62
55,\x02738acd14793e031996de2cf686dc1d2e9df07b,,58 days,1.9833,266
56,\x027cae2ed1a23350a751452e907b4120330f9762,bernardocafe,1340 days,7.292,576
57,\x02b06e44aea658d9f113a22cee32b924b45d5bb0,,59 days,7.9906,484
58,\x02b56b480fd9350fc83dbe2918a76c60232b4001,,125 days,1.7021,205
