user_address,time_since_first_tx,total_gas_eth,number_of_txs
\x009cd67a8249b9d9160bea72079a84afd46886ae,109 days,1.1037,38
\x00f2bb128baba9e2b3a466228759166987e4feb9,168 days,0.5734,44
\x012b38ccb3ae97a32cd24088bf9426d4ee5442d3,92 days,10.8066,523
\x02594037d4cec55dc0d5069306f25de258aa7ddd,57 days,1.8975,234
\x03251ae9065a02d50230e02b137265157e101c20,369 days,22.6668,1343
\x036d78c5e87e0aa07bf61815d1effe10c9fd5275,34 days,2.0015,235
\x03d1a11f5e98a02ecd31962dc787000451e0c1d2,140 days,2.8654,410
\x041cd43c8dff91e3e3f86bd1990afaf6801a83ce,140 days,2.5285,299
\x047d70f5cfb2572557433e82a6f3762eff2f878f,29 days,0.2511,45
\x04f3c550216a29fdea8c7cf56823b7ed2fff8eff,37 days,1.4053,299
\x05258e865f382b33e3d45bcd0fef58458611bda9,146 days,0.4955,44
\x0578aa0595e0c83530dcde1d7a339479bfe6b0b7,164 days,1.6242,153
\x057d1e845402b371eb793135f877966b47577e28,89 days,2.8161,309
\x057f8d0f6fb2703197363f75c002f766f1c4287a,1497 days,3.6976,386
\x064635e9ad8c770df4430180f0983ac0c59fc3fc,136 days,5.5676,338
\x0729972590889361b0c59cc0df4e54ff02109596,32 days,0.6305,18
\x0767e7b07fe3816d69e8ae9cce87b011af0199ba,138 days,4.3375,234
\x0775a23372a9a1572b2138f0eb5069a60f6b8b05,106 days,4.1301,609
\x0799442ce0f90f8837fdeece82cd2735625b4bf9,325 days,115.1116,3436
\x07b994cddd2767dec07b8955f641d49d1b813ada,00:00:00,0.0720,5
\x07cc3c2ece8a0d83d71f9f62d70731c5392f5c29,71 days,0.2880,28
\x07f540903f9ec92ae3bc85a91742fa272da32618,91 days,4.4377,494
\x087e282f6275538ed99b1e7df165eddeb745f3a6,51 days,11.0526,373
\x09580ac5e91038ce0385247c59e58519785a4636,155 days,3.4071,240
\x0985224a811e65c235dbf4a2c2117712aabe4e39,1067 days,21.1620,2685
\x0985fbcb517b2889eb2340a3c2747e133a825cd2,81 days,20.2219,1759
\x09ab720be0deda7f664e5dd15c5f33472da0e0fe,601 days,9.2529,604
\x0a2a3d3c6d4f2d57d307da3e3e99ff8122077da5,247 days,41.4128,1141
\x0abb75f676d0c131c04324dd98150a39213edd41,47 days,74.1098,995
\x0acd3b41e5b21e8b23b2ed054645316a9b1db287,98 days,7.8836,695
\x0b7917b62bc98967e06e80efba9abcaccf3d4928,357 days,9.0809,559
\x0bc90e07937fa2a69a8639499a310b3e49365930,12 days,0.3877,13
\x0bfff40545a2250c3f11993e7b75dbbcb11e36ac,76 days,10.2652,569
\x0c72d3404dc10d594a7d00086cde7b1c48e4c0d4,89 days,2.0646,249
\x0c80f1c0d372b1bf66446d524998df92df972644,349 days,3.1656,193
\x0d2e911c371dc46404fe73a619c58075c8dbc915,593 days,2.4283,169
\x0d93bc9654df5a50e0e65df55d09ba7b47fb95cd,128 days,4.6281,462
\x0dd273b85e5578c488559107ac98a1ab98f208aa,135 days,1.4021,144
\x0df7c774427a39e2b4e585a3b530ee0e7e817411,37 days,2.3444,138
\x0eb9a7ff5cbf719251989caf1599c1270eafb531,1384 days,50.7541,4841
\x1025d7764f2958004d3ff083cedbee634baa622b,79 days,0.9596,30
\x102a618b36c32b338c03526255dcf2a39eb1897f,178 days,13.8793,840
\x11ef20cfeb033a3513d75164175a2e2d68f9c396,61 days,4.8329,727
\x123c3f60c0232b1b7ffdb91d533740697b4e1fd4,151 days,3.6152,84
\x12c7eccd7ada722ebfff3900d37404757a92fc21,12 days,1.2972,95
\x12d024ea9d20232380d7b6a7e64b114469ecbbec,281 days,5.6418,513
\x133b63e8740fd57a215db2bd99090d037ade596d,144 days,1.4264,98
\x14287e62b859a3a5e19b3c2d59ed1f12ac94ba4c,637 days,8.6313,1415
\x14df40586e0f2ca5ca222db0dac8df2f4c5b1aab,350 days,7.4607,587
\x15296589df4156703d25475ea9b1039030acfaeb,1112 days,14.6922,3830
\x1565e23abe9c15c714b662b77c87ed9a61ee19d2,128 days,18.0870,1021
\x160fddcea66648feea262cc11b0e46651a1f5ce2,317 days,1.7464,69
\x163dff00352b3d3757773844309609a60b0da7ba,160 days,0.3629,78
\x163e9dcbc838014cac1d112c6787d83d379178f0,18 days,2.5648,52
\x16525c97e3061a8e8f130244d90624f12095cb68,12 days,0.2992,21
\x16ffe3938b69132c72a5b0250708792db72971b4,150 days,6.7596,823
\x170e127dea301fc5d513142ef130b6befa8f38cd,12 days,2.3744,23
